                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2755,                 1.3803,                 1.4447,                0.91647,                0.96848,                0.96391,                0.70314,                 1.0724,                0.61253,                 1.1677,               0.070144,              0.0033173,              0.0033173
                      1,                 1.0975,                0.68466,                 1.2409,                 0.9164,                0.89432,                0.94654,                0.67902,                 1.0944,                0.68824,                 1.2127,               0.040111,              0.0066177,              0.0066177
                      2,                 1.1206,                0.73445,                 1.2907,                0.94293,                0.88598,                0.93993,                0.66471,                 1.1349,                0.73166,                 1.2697,               0.010045,              0.0098851,              0.0098851
                      3,                  1.161,                0.75948,                 1.3059,                0.79089,                0.76639,                0.83715,                0.58117,                 1.2256,                 1.2808,                 1.3413,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.1564,                0.73537,                 1.3155,                0.92946,                0.90699,                0.94722,                0.67754,                 1.1133,                  0.693,                 1.2868,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.129,                0.70669,                 1.2979,                0.91484,                0.92704,                0.95161,                0.69794,                 1.1304,                0.61345,                 1.2582,               0.009802,               0.009802,               0.009802
                      6,                 1.1103,                0.68439,                 1.2884,                0.94587,                0.94556,                0.95838,                0.71018,                 1.0665,                0.55366,                 1.2463,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1075,                0.66882,                 1.2913,                 0.9303,                0.95702,                 0.9625,                0.71645,                 1.0513,                0.54718,                 1.2244,               0.009703,               0.009703,               0.009703
                      8,                 1.0731,                0.63715,                 1.2727,                0.91256,                0.91034,                0.95342,                0.70032,                 1.0825,                0.64653,                 1.2498,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0915,                0.64457,                 1.2919,                0.95171,                0.93014,                0.96773,                0.71975,                 1.0663,                0.53668,                 1.2178,               0.009604,               0.009604,               0.009604
                     10,                 1.0615,                0.62785,                 1.2682,                0.91723,                0.95989,                0.94404,                0.71542,                 1.0409,                0.54229,                 1.2095,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0541,                 0.6182,                 1.2713,                0.93254,                0.95845,                0.97509,                0.73284,                 1.0314,                0.50464,                 1.2215,               0.009505,               0.009505,               0.009505
                     12,                 1.0506,                0.61066,                  1.276,                0.95629,                0.93058,                0.97058,                0.72849,                 1.0447,                0.54016,                 1.2346,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0421,                0.58154,                 1.2463,                0.95003,                0.95526,                0.97469,                0.72645,                 1.0543,                0.49649,                 1.2392,               0.009406,               0.009406,               0.009406
                     14,                 1.0381,                0.58511,                 1.2537,                0.94924,                0.93482,                0.95916,                0.71566,                 1.0742,                 0.5249,                  1.235,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0352,                0.57492,                 1.2526,                0.96596,                0.91362,                0.97541,                0.72865,                 1.0331,                0.49015,                 1.2142,               0.009307,               0.009307,               0.009307
                     16,                 1.0283,                0.57174,                 1.2502,                0.96663,                0.94556,                0.97792,                0.74012,                 1.0179,                0.47466,                 1.2087,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0212,                0.56952,                  1.244,                0.94081,                0.91261,                0.95291,                0.72012,                 1.0455,                0.54348,                 1.2365,               0.009208,               0.009208,               0.009208
                     18,                 1.0138,                0.55255,                 1.2497,                0.94958,                0.96562,                0.97852,                0.74331,                 1.0186,                0.46695,                 1.2276,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0241,                0.55384,                 1.2454,                0.93613,                0.95889,                0.97945,                 0.7417,                 1.0295,                0.46246,                 1.2105,               0.009109,               0.009109,               0.009109
                     20,                 1.0052,                 0.5548,                 1.2402,                 0.9673,                0.93983,                0.97883,                0.74157,                  1.015,                0.46549,                 1.2166,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0021,                0.54157,                 1.2436,                 0.9618,                0.93192,                0.96457,                0.74161,                0.99733,                0.47234,                 1.2043,                0.00901,                0.00901,                0.00901
                     22,                0.99481,                0.53331,                 1.2354,                0.96208,                0.93266,                0.97033,                0.74853,                0.99654,                0.45585,                 1.1943,              0.0089605,              0.0089605,              0.0089605
                     23,                0.98194,                0.53406,                 1.2275,                0.96921,                 0.9341,                0.97402,                0.74345,                  1.008,                0.45308,                 1.2111,               0.008911,               0.008911,               0.008911
                     24,                0.98665,                0.53171,                 1.2263,                0.97201,                0.93799,                0.97987,                 0.7498,                0.99766,                0.44644,                 1.2011,              0.0088615,              0.0088615,              0.0088615
                     25,                0.98836,                0.52994,                 1.2109,                 0.9666,                0.94039,                 0.9784,                0.75949,                 1.0028,                0.45104,                 1.1818,               0.008812,               0.008812,               0.008812
                     26,                 0.9714,                0.50905,                 1.2093,                0.95825,                 0.9515,                0.97659,                0.75943,                 1.0112,                0.43415,                 1.2093,              0.0087625,              0.0087625,              0.0087625
                     27,                0.97473,                0.50929,                 1.2215,                0.97385,                0.93266,                0.97995,                0.76118,                0.99181,                0.42499,                 1.1801,               0.008713,               0.008713,               0.008713
                     28,                  0.964,                0.50153,                 1.2073,                0.95937,                0.95417,                0.97758,                 0.7528,                0.99568,                0.44434,                 1.2153,              0.0086635,              0.0086635,              0.0086635
                     29,                0.95843,                0.50046,                 1.2033,                0.96953,                0.94556,                0.98434,                0.76106,                0.98686,                0.42397,                 1.1858,               0.008614,               0.008614,               0.008614
                     30,                0.96849,                0.50489,                 1.2041,                0.96779,                0.94413,                0.97893,                 0.7588,                0.99178,                0.43916,                 1.1835,              0.0085645,              0.0085645,              0.0085645
                     31,                0.95769,                0.49867,                 1.1981,                0.95685,                0.95024,                0.97655,                0.75262,                0.98798,                0.44306,                 1.1892,               0.008515,               0.008515,               0.008515
                     32,                 0.9494,                0.49627,                  1.198,                0.94787,                0.96651,                0.97975,                0.76209,                 1.0037,                0.43356,                 1.1882,              0.0084655,              0.0084655,              0.0084655
                     33,                0.93876,                0.49037,                 1.1989,                0.96485,                0.94986,                0.98176,                0.76433,                0.96676,                0.42089,                 1.1827,               0.008416,               0.008416,               0.008416
                     34,                0.94718,                0.49068,                 1.1939,                0.97518,                0.92837,                0.97515,                0.76089,                0.98827,                0.44114,                 1.1958,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.9418,                0.48925,                 1.1916,                0.98328,                 0.9341,                 0.9843,                0.76208,                0.97501,                0.42253,                 1.1826,               0.008317,               0.008317,               0.008317
                     36,                0.94635,                0.48241,                 1.1962,                0.98789,                0.93266,                0.98284,                 0.7681,                0.98412,                0.42053,                 1.1819,              0.0082675,              0.0082675,              0.0082675
                     37,                0.94567,                0.47746,                 1.1881,                0.96904,                0.95129,                0.98042,                0.75446,                0.96267,                0.41457,                 1.1794,               0.008218,               0.008218,               0.008218
                     38,                 0.9322,                0.47413,                 1.1815,                0.96266,                0.95769,                 0.9829,                0.76434,                0.97616,                0.41192,                 1.1625,              0.0081685,              0.0081685,              0.0081685
                     39,                0.91823,                0.46737,                  1.174,                0.95286,                0.95964,                0.98092,                0.76918,                0.97077,                0.40565,                 1.1668,               0.008119,               0.008119,               0.008119
                     40,                0.91451,                 0.4694,                 1.1649,                0.96338,                0.95709,                0.97828,                 0.7574,                0.98504,                 0.4182,                 1.1758,              0.0080695,              0.0080695,              0.0080695
